Camels_IDs,flood_cluster
01013500,9
01022500,9
01030500,9
01031500,9
01047000,9
01052500,9
01054200,9
01055000,9
01057000,9
01073000,13
01078000,9
01118300,13
01121000,13
01123000,13
01134500,9
01137500,9
01139000,9
01139800,9
01142500,9
01144000,9
01162500,13
01169000,13
01170100,13
01181000,13
01187300,13
01195100,13
01333000,13
01350000,13
01350080,13
01350140,13
01365000,13
01411300,14
01413500,13
01414500,13
01415000,13
01423000,13
01434025,13
01435000,13
01439500,13
01440000,13
01440400,13
01451800,13
01466500,14
01484100,14
01485500,14
01486000,14
01487000,14
01491000,14
01510000,13
01516500,13
01518862,13
01532000,13
01539000,13
01542810,13
01543000,13
01543500,13
01544500,13
01545600,13
01547700,13
01548500,13
01549500,13
01550000,13
01552000,13
01552500,13
01557500,13
01567500,13
01568000,13
01580000,14
01583500,14
01586610,14
01591400,14
01594950,11
01596500,11
01605500,14
01606500,14
01613050,13
01620500,14
01632000,14
01632900,14
01634500,14
01638480,14
01639500,14
01644000,14
01658500,14
01664000,14
01666500,14
01667500,14
01669000,14
01669520,14
02011400,14
02011460,14
02013000,14
02014000,14
02015700,14
02016000,14
02017500,14
02018000,14
02027000,14
02027500,14
02028500,14
02038850,14
02046000,14
02051000,14
02051500,14
02053200,14
02053800,14
02055100,14
02056900,14
02059500,14
02064000,14
02065500,14
02069700,14
02070000,14
02074500,14
02077200,14
02081500,14
02082950,14
02092500,14
02096846,14
02102908,14
02108000,14
02111180,14
02111500,14
02112120,14
02112360,14
02118500,14
02125000,14
02128000,14
02137727,14
02140991,14
02143000,14
02143040,14
02149000,14
02152100,14
02177000,14
02178400,14
02193340,15
02196000,15
02198100,15
02202600,15
02212600,15
02215100,15
02216180,15
02221525,15
02231000,15
02231342,15
02235200,15
02245500,15
02246000,15
02296500,15
02297155,15
02297310,15
02298123,15
02298608,15
02299950,15
02300700,15
02310947,15
02312200,15
02314500,15
02315500,15
02324400,15
02327100,15
02342933,15
02349900,15
02350900,15
02361000,15
02363000,15
02369800,15
02371500,15
02372250,15
02374500,15
02381600,12
